0	[1.14497732E8,0.0,0.0,1.3599894E7,0.0,0.0]
1	[1.36840524E8,0.0,0.0,644.0,0.0,1.36662471E8]
2	[1.25940062E8,1.32516972E8,0.0,0.0,0.0,0.0]
3	[1.37448761E8,0.0,0.0,1.7066034E7,0.0,1.37448761E8]
4	[1.32674376E8,0.0,0.0,0.0,0.0,0.0]
5	[1.342748E8,0.0,0.0,0.0,0.0,0.0]
6	[4.3257071E7,0.0,4.3257071E7,8090980.0,0.0,0.0]
7	[2.5977969E7,1.4194104E7,8848.0,0.0,0.0,0.0]
8	[1.35108204E8,0.0,0.0,0.0,0.0,0.0]
9	[1.90399611E8,1.78E7,0.0,0.0,0.0,1.46181818E8]
10	[1.2378044E8,0.0,0.0,0.0,0.0,0.0]
11	[5.6099585E7,0.0,5.780358E7,615689.0,0.0,0.0]
12	[2.409009E7,0.0,2.409009E7,445748.0,0.0,0.0]
13	[2.5894394E8,1951219.0,0.0,0.0,0.0,1.32969105E8]
14	[4.69940897E8,0.0,0.0,0.0,0.0,1.478E8]
15	[3.91194055E8,1.78E7,0.0,0.0,0.0,1.40340952E8]
16	[1.32849751E8,0.0,0.0,6.8343683E7,0.0,4.5850891E7]
17	[5.92194033E8,0.0,0.0,0.0,0.0,5.92194033E8]
18	[8.57274134E8,1.5746153E7,0.0,0.0,0.0,1.478E8]
19	[2.640593E8,0.0,0.0,3459.0,0.0,2.640593E8]
20	[2.14298506E8,0.0,0.0,3537.0,0.0,2.14298506E8]
21	[1.35521676E8,0.0,0.0,4.058345E7,0.0,1.35521676E8]
22	[7.3229104E7,0.0,0.0,3.0583836E7,0.0,4.6335055E7]
23	[3.44450543E8,0.0,0.0,0.0,0.0,1.478E8]
24	[1.32828903E8,0.0,0.0,8.201419E7,0.0,0.0]
25	[7.3310223E7,0.0,7.3310223E7,5.2865879E7,0.0,0.0]
26	[5.98986403E8,1.6894915E7,0.0,0.0,0.0,1.478E8]
27	[1.10153838E8,0.0,0.0,0.0,0.0,0.0]
28	[1.64016397E8,0.0,0.0,598.0,0.0,1.50869325E8]
