appId	appName	stageId	ipBytes	cachedBytes	shuffleBytesRead	shuffleBytesWritten	opBytes	maxHeap	maxCores	yarnOverhead	numExecs	sparkMemoryFraction	offHeap	offHeapSize	serializer	gcAlgo	newRatio	failedExecs	maxStorage	maxExecution	totalTime	maxUsedHeap	minUsageGap	maxOldGenUsed	totalGCTime	totalNumYoungGC	totalNumOldGC
application_1508545462036_0100	micro	8	0	0	41159602	59	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	8	10	679392196	302252032	113880	1983912112	163571536	4677	1840141232	106	2
application_1508545462036_0100	micro	9	0	0	11799	0	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	8	1	0	0	23	0	2147483648	0	0	0	0
application_1508545462036_0101	micro	0	132744022	134217728	0	0	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	11	10	706244717	0	2091568	2016751456	130732192	267267	1925297296	5763	405
application_1508545462036_0101	micro	1	134619034	0	0	0	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	11	8	705937287	0	26246	1580368048	567115600	4639	1512062480	91	1
application_1508545462036_0101	micro	2	137817900	0	0	17101525	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	11	10	707978631	268697600	1030518	1906546168	240937480	145929	1813253896	2877	106
application_1508545462036_0101	micro	3	0	0	41043659	59	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	11	10	701207490	268697600	116665	1896064120	251419528	5950	1817984776	122	6
application_1508545462036_0101	micro	4	0	0	11797	0	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	11	1	0	0	40	0	2147483648	0	0	0	0
application_1508545462036_0101	micro	5	135541921	134217728	0	0	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	11	10	706620286	302252032	2030485	2054403816	93079832	236693	1957480328	6043	179
application_1508545462036_0101	micro	6	134619472	0	0	0	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	11	9	704623978	0	26243	1981394728	166088920	5157	1859964000	80	4
application_1508545462036_0101	micro	7	137817953	0	0	17116406	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	11	10	707646362	167903232	1040950	2034311400	113172248	139243	1905134056	2691	71
application_1508545462036_0101	micro	8	0	0	41079375	59	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	11	10	700183758	302252032	112339	2009817824	137665824	5142	1931587296	128	4
application_1508545462036_0101	micro	9	0	0	11800	0	0	2147483648	1	1073741824	10	0.40	0	0	java	parallel	11	1	0	0	38	0	2147483648	0	0	0	0
application_1508545462036_0102	micro	0	132743924	134217728	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	2	10	956078970	0	2056107	1914204768	233278880	216111	1431578744	3167	381
application_1508545462036_0102	micro	1	134621207	0	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	2	9	953763769	0	22123	1830262984	317220664	1789	1279001280	33	2
application_1508545462036_0102	micro	2	137817675	0	0	17135274	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	2	10	956609872	268697600	1013612	1900575720	246907928	110706	1401987600	1888	199
application_1508545462036_0102	micro	3	0	0	41124658	59	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	2	10	955104588	302252032	120659	1885421824	262061824	3470	1323562184	22	3
application_1508545462036_0102	micro	4	0	0	11800	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	2	1	0	0	44	0	2147483648	0	0	0	0
application_1508545462036_0102	micro	5	135541793	134217728	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	2	10	955567877	302252032	1997220	1967465648	180018000	223939	1431111128	3225	358
application_1508545462036_0102	micro	6	134621207	0	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	2	8	953075312	0	21560	1655198568	492285080	2322	1269227664	30	0
application_1508545462036_0102	micro	7	137817691	0	0	17113445	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	2	10	956607550	268697600	978132	1976526896	170956752	111245	1365212256	1913	213
application_1508545462036_0102	micro	8	0	0	41072267	59	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	2	10	833527618	302252032	115933	1873269464	274214184	4269	1275440256	21	4
application_1508545462036_0102	micro	9	0	0	11799	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	2	1	0	0	26	0	2147483648	0	0	0	0
application_1508545462036_0103	micro	0	132743965	134217728	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	5	10	982545457	0	2037656	2025145256	122338392	218841	1788669856	5568	329
application_1508545462036_0103	micro	1	134621356	0	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	5	9	980554654	0	22043	1921871160	225612488	2933	1657383232	56	0
application_1508545462036_0103	micro	2	137817677	0	0	17087627	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	5	10	987305986	268697600	957134	1993675280	153808368	110250	1717636200	3401	122
application_1508545462036_0103	micro	3	0	0	41010305	59	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	5	10	866281762	302252032	119309	1959363304	188120344	5807	1703838104	171	7
application_1508545462036_0103	micro	4	0	0	11800	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	5	1	0	0	40	0	2147483648	0	0	0	0
application_1508545462036_0103	micro	5	135541693	134217728	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	5	10	1011913730	268697600	1915206	2064367480	83116168	201284	1781432448	5593	261
application_1508545462036_0103	micro	6	134621356	0	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	5	9	1011635438	0	21608	1788694608	358789040	2515	1572918992	65	1
application_1508545462036_0103	micro	7	137817638	0	0	17145122	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	5	10	1011913730	235143168	981884	1966684088	180799560	121919	1717431304	3165	135
application_1508545462036_0103	micro	8	0	0	41148292	59	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	5	10	955145627	268697600	118319	1878813384	268670264	3657	1668718984	59	0
application_1508545462036_0103	micro	9	0	0	11800	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	5	1	0	0	49	0	2147483648	0	0	0	0
application_1508545462036_0104	micro	0	132743933	134217728	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	8	10	1012388086	0	2073923	2083968184	63515464	268951	1907164752	5842	393
application_1508545462036_0104	micro	1	134621794	0	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	8	9	1010594352	0	23523	2006719120	140764528	3307	1842462320	78	1
application_1508545462036_0104	micro	2	137817559	0	0	17168683	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	8	10	1017345684	33619968	1007539	2055497480	91986168	137354	1868467720	2521	116
application_1508545462036_0104	micro	3	0	0	41204840	59	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	8	10	1010629266	302252032	125817	1956179248	191304400	6439	1808444200	104	4
application_1508545462036_0104	micro	4	0	0	11800	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	8	1	0	0	43	0	2147483648	0	0	0	0
application_1508545462036_0104	micro	5	135541833	134217728	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	8	10	1007521363	268697600	2013049	2081044152	66439496	254702	1896818840	5862	282
application_1508545462036_0104	micro	6	134621794	0	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	8	9	1004975235	0	22991	1874791640	272692008	3845	1825233712	65	1
application_1508545462036_0104	micro	7	137817555	0	0	17089415	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	8	10	1011594411	268697600	1001614	2050757120	96726528	138482	1847067320	2629	120
application_1508545462036_0104	micro	8	0	0	41014597	59	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	8	10	972490518	302252032	115365	1946727040	200756608	4702	1826173664	75	0
application_1508545462036_0104	micro	9	0	0	11799	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	8	1	0	0	28	0	2147483648	0	0	0	0
application_1508545462036_0105	micro	0	132744020	134217728	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	11	10	1008119773	0	2115612	2115664752	31818896	309964	1963463096	5886	425
application_1508545462036_0105	micro	1	134621794	0	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	11	10	1006358844	0	24404	1935796408	211687240	4733	1882377224	92	1
application_1508545462036_0105	micro	2	137817555	0	0	17141094	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	11	10	1012978020	235012096	1026805	2051772520	95711128	155981	1926502176	3038	112
application_1508545462036_0105	micro	3	0	0	41138624	59	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	11	10	1006393771	302252032	123249	2013871680	133611968	6599	1928756336	128	3
application_1508545462036_0105	micro	4	0	0	11799	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	11	1	0	0	39	0	2147483648	0	0	0	0
application_1508545462036_0105	micro	5	135541876	134217728	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	11	10	1008141283	268697600	2041181	2085643808	61839840	283168	1966054544	5940	266
application_1508545462036_0105	micro	6	134621794	0	0	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	11	9	1006121780	0	23643	1947664736	199818912	4054	1892883224	85	1
application_1508545462036_0105	micro	7	137817563	0	0	17100335	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	11	10	1012762916	167903232	1042413	2042156896	105326752	157063	1926138584	3056	113
application_1508545462036_0105	micro	8	0	0	41040803	59	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	11	10	976768388	302252032	114717	2059301544	88182104	7277	1958412280	162	5
application_1508545462036_0105	micro	9	0	0	11799	0	0	2147483648	1	1073741824	10	0.60	0	0	java	parallel	11	1	0	0	37	0	2147483648	0	0	0	0
application_1508545462036_0106	micro	0	127031217	161870627	0	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	2	16	1260152117	0	2380159	2003951448	143532200	309201	1431793536	3709	380
application_1508545462036_0107	micro	0	130351697	133108491	0	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	5	13	1370870784	0	2358990	2033589776	113893872	252408	1789081632	5861	389
application_1508545462036_0107	micro	1	134621647	0	0	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	5	8	1368256322	0	23477	1895225792	252257856	2453	1701791496	31	2
application_1508545462036_0107	micro	2	137750000	0	0	17104551	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	5	10	1370218946	67239936	1652688	2005182680	142300968	113506	1749841160	3451	196
application_1508545462036_0107	micro	3	0	0	41050923	59	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	5	10	1368660846	268697600	149939	1985854800	161628848	11369	1752165976	140	18
application_1508545462036_0107	micro	4	0	0	11800	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	5	1	0	0	50	0	2147483648	0	0	0	0
application_1508545462036_0107	micro	5	133252545	133384078	0	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	5	13	1371071112	268697600	2602133	2045172224	102311424	312349	1789783256	6020	407
application_1508545462036_0107	micro	6	134243301	0	0	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	5	7	1369946416	0	42270	1911425208	236058440	5403	1703085656	104	7
application_1508545462036_0107	micro	7	137690713	0	0	17116254	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	5	10	1370542896	268697600	1852967	2039514264	107969384	140981	1758540440	3656	217
application_1508545462036_0107	micro	8	0	0	41079010	59	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	5	10	1352059864	335806464	451945	1994494112	152989536	10659	1738396464	74	5
application_1508545462036_0107	micro	9	0	0	11800	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	5	1	0	0	44	0	2147483648	0	0	0	0
application_1508545462036_0108	micro	0	129786071	134217728	0	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	8	14	1398146587	0	2846771	2067880752	79602896	359528	1907554376	7311	452
application_1508545462036_0109	micro	0	130920832	133384078	0	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	11	12	1397292259	0	2388628	2073772112	73711536	329491	1961448560	6206	487
application_1508545462036_0109	micro	1	134621356	0	0	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	11	7	1388141451	0	24183	1981002784	166480864	4587	1923174600	17	2
application_1508545462036_0109	micro	2	137197997	0	0	17136303	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	11	10	1399557016	0	1603029	2081621072	65862576	190181	1955364024	3688	234
application_1508545462036_0109	micro	3	0	0	41127127	59	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	11	10	1392878368	268697600	169756	2026688224	120795424	11747	1961137032	101	10
application_1508545462036_0109	micro	4	0	0	11799	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	11	1	0	0	48	0	2147483648	0	0	0	0
application_1508545462036_0109	micro	5	132088560	142848136	0	0	0	2147483648	1	1073741824	10	0.80	0	0	java	parallel	11	15	1404049248	335806464	2690681	2111687000	35796648	356887	1961613576	7398	395
application_1508545462036_0110	micro	0	132744306	134217728	0	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	2	10	255755640	0	2022088	974288552	99453272	204270	713839936	5473	490
application_1508545462036_0110	micro	1	134619323	0	0	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	2	9	254333017	0	24612	776062280	297679544	4101	601797040	74	5
application_1508545462036_0110	micro	2	137819156	0	0	17100950	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	2	10	255270901	235143168	975645	897719136	176022688	108506	642074176	3653	239
application_1508545462036_0110	micro	3	0	0	41042280	5187830	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	2	10	249547384	256027338	125513	875994264	197747560	3514	652497616	128	5
application_1508545462036_0110	micro	4	0	0	11800	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	2	1	0	0	53	0	1073741824	0	0	0	0
application_1508545462036_0110	micro	5	135542195	134217728	0	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	2	10	255769470	256027338	2018318	980283480	93458344	211895	715104104	5598	513
application_1508545462036_0110	micro	6	134619323	0	0	0	0	1073741824	1	1073741824	10	0.40	0	0	java	parallel	2	10	255056757	0	25148	825423016	248318808	4118	600660168	83	7
